0.010000 , 9.9010e-009
0.012589 , 2.4807e-008
0.015849 , 6.2111e-008
0.019953 , 1.5539e-007
0.025119 , 3.8835e-007
0.031623 , 9.6935e-007
0.039811 , 2.4157e-006
0.050119 , 6.0084e-006
0.063096 , 1.4908e-005
0.079433 , 3.6881e-005
0.100000 , 9.0909e-005
0.125893 , 2.2310e-004
0.158489 , 5.4464e-004
0.199526 , 1.3213e-003
0.251189 , 3.1818e-003
0.316228 , 7.5975e-003
0.398107 , 1.7966e-002
0.501187 , 4.2031e-002
0.630957 , 9.7176e-002
0.794328 , 2.2187e-001
1.000000 , 5.0000e-001
1.258925 , 1.1120e+000
1.584893 , 2.4409e+000
1.995262 , 5.2913e+000
2.511886 , 1.1336e+001
3.162278 , 2.4025e+001
3.981072 , 5.0429e+001
5.011872 , 1.0495e+002
6.309573 , 2.1682e+002
7.943282 , 4.4515e+002
10.000000 , 9.0909e+002
12.589254 , 1.8484e+003
15.848932 , 3.7448e+003
19.952623 , 7.5642e+003
25.118864 , 1.5242e+004
31.622777 , 3.0653e+004
39.810717 , 6.1550e+004
50.118723 , 1.2343e+005
63.095734 , 2.4727e+005
79.432823 , 4.9496e+005
100.000000 , 9.9010e+005
